run_id,client,cl_batch,size
20251228-124513,0,1,233
20251228-124513,0,2,44
20251228-124513,0,3,44
20251228-124513,0,4,44
20251228-124513,0,5,44
20251228-124513,0,6,44
20251228-124513,0,7,47
20251228-124513,1,1,233
20251228-124513,1,2,44
20251228-124513,1,3,44
20251228-124513,1,4,44
20251228-124513,1,5,44
20251228-124513,1,6,44
20251228-124513,1,7,47
20251228-124513,2,1,233
20251228-124513,2,2,44
20251228-124513,2,3,44
20251228-124513,2,4,44
20251228-124513,2,5,44
20251228-124513,2,6,44
20251228-124513,2,7,47
